iter	Passed	Remaining
937	12166	7289
938	12178	7276
939	12194	7264
940	12208	7252
941	12223	7240
942	12234	7226
943	12246	7212
944	12283	7214
945	12300	7203
946	12313	7190
947	12324	7176
948	12336	7162
949	12348	7149
950	12360	7135
951	12372	7122
952	12385	7108
953	12397	7095
954	12409	7081
955	12421	7068
956	12434	7055
957	12445	7041
958	12458	7028
959	12470	7014
960	12483	7001
961	12495	6988
962	12509	6975
963	12521	6962
964	12534	6949
965	12554	6940
966	12574	6931
967	12592	6920
968	12607	6908
969	12623	6897
970	12636	6884
971	12649	6871
972	12663	6858
973	12677	6846
974	12691	6833
975	12706	6821
976	12719	6809
977	12733	6796
978	12746	6783
979	12760	6770
980	12773	6757
981	12787	6745
982	12800	6732
983	12815	6720
984	12829	6708
985	12844	6696
986	12859	6683
987	12872	6670
988	12885	6657
989	12898	6644
990	12912	6632
991	12925	6619
992	12938	6605
993	12952	6593
994	12964	6580
995	12978	6567
996	12991	6554
997	13004	6541
998	13017	6528
999	13031	6515
1000	13044	6502
1001	13057	6489
1002	13071	6477
1003	13085	6464
1004	13100	6452
1005	13113	6439
1006	13126	6426
1007	13138	6413
1008	13152	6400
1009	13165	6387
1010	13177	6373
1011	13192	6361
1012	13208	6350
1013	13223	6337
1014	13238	6325
1015	13252	6313
1016	13268	6301
1017	13283	6289
1018	13298	6277
1019	13311	6264
1020	13324	6251
1021	13338	6238
1022	13352	6225
1023	13365	6212
1024	13379	6200
1025	13391	6186
1026	13406	6174
1027	13419	6161
1028	13433	6148
1029	13446	6135
1030	13460	6122
1031	13473	6110
1032	13486	6097
1033	13499	6083
1034	13512	6070
1035	13525	6057
1036	13538	6044
1037	13551	6031
1038	13564	6018
1039	13578	6006
1040	13592	5993
1041	13606	5980
1042	13620	5968
1043	13635	5955
1044	13648	5942
1045	13662	5929
1046	13676	5917
1047	13691	5905
1048	13706	5892
1049	13720	5880
1050	13733	5867
1051	13746	5853
1052	13759	5840
1053	13772	5827
1054	13785	5814
1055	13798	5801
1056	13812	5789
1057	13826	5776
1058	13840	5763
1059	13854	5750
1060	13870	5738
1061	13884	5726
1062	13900	5714
1063	13913	5701
1064	13927	5688
1065	13942	5676
1066	13956	5663
1067	13970	5650
1068	13984	5638
1069	14001	5626
1070	14015	5614
1071	14029	5601
1072	14042	5588
1073	14056	5575
1074	14069	5562
1075	14082	5549
1076	14096	5536
1077	14110	5523
1078	14122	5510
1079	14136	5497
1080	14148	5484
1081	14161	5471
1082	14174	5457
1083	14187	5444
1084	14199	5431
1085	14211	5417
1086	14224	5404
1087	14237	5391
1088	14249	5377
1089	14263	5365
1090	14277	5352
1091	14290	5339
1092	14303	5326
1093	14315	5312
1094	14327	5299
1095	14341	5286
1096	14353	5273
1097	14366	5260
1098	14379	5246
1099	14392	5233
1100	14405	5220
1101	14417	5207
1102	14430	5193
1103	14442	5180
1104	14454	5167
1105	14467	5153
1106	14479	5140
1107	14492	5127
1108	14504	5113
1109	14517	5100
1110	14530	5087
1111	14543	5074
1112	14556	5061
1113	14569	5048
1114	14581	5034
1115	14593	5021
1116	14606	5008
1117	14619	4995
1118	14632	4982
1119	14645	4969
1120	14663	4957
1121	14676	4944
1122	14688	4931
1123	14700	4917
1124	14713	4904
1125	14726	4891
1126	14739	4878
1127	14752	4865
1128	14765	4852
1129	14778	4838
1130	14790	4825
1131	14802	4812
1132	14814	4798
1133	14827	4785
1134	14839	4772
1135	14853	4759
1136	14868	4746
1137	14882	4734
1138	14895	4720
1139	14908	4707
1140	14921	4694
1141	14934	4681
1142	14947	4668
1143	14959	4655
1144	14973	4642
1145	14987	4629
1146	15002	4617
1147	15017	4604
1148	15031	4591
1149	15044	4578
1150	15057	4565
1151	15069	4552
1152	15082	4539
1153	15095	4526
1154	15108	4512
1155	15121	4499
1156	15135	4486
1157	15148	4473
1158	15160	4460
1159	15173	4447
1160	15186	4434
1161	15198	4420
1162	15211	4407
1163	15224	4394
1164	15237	4381
1165	15250	4368
1166	15264	4355
1167	15277	4342
1168	15289	4329
1169	15302	4316
1170	15315	4302
1171	15328	4289
1172	15341	4276
1173	15354	4263
1174	15366	4250
1175	15379	4237
1176	15392	4224
1177	15404	4210
1178	15417	4197
1179	15430	4184
1180	15443	4171
1181	15456	4158
1182	15468	4145
1183	15481	4131
1184	15494	4118
1185	15507	4105
1186	15519	4092
1187	15533	4079
1188	15546	4066
1189	15560	4053
1190	15573	4040
1191	15586	4027
1192	15600	4014
1193	15613	4001
1194	15626	3988
1195	15641	3975
1196	15655	3962
1197	15670	3950
1198	15684	3937
1199	15697	3924
1200	15710	3911
1201	15725	3898
1202	15739	3885
1203	15752	3872
1204	15766	3859
1205	15780	3846
1206	15793	3833
1207	15806	3820
1208	15820	3807
1209	15833	3794
1210	15846	3781
1211	15860	3768
1212	15875	3756
1213	15889	3743
1214	15903	3730
1215	15916	3717
1216	15931	3704
1217	15944	3691
1218	15957	3678
1219	15970	3665
1220	15983	3652
1221	15996	3639
1222	16010	3626
1223	16024	3613
1224	16037	3600
1225	16051	3587
1226	16064	3574
1227	16078	3561
1228	16091	3548
1229	16105	3535
1230	16119	3522
1231	16132	3509
1232	16146	3496
1233	16160	3483
1234	16173	3470
1235	16186	3457
1236	16199	3444
1237	16212	3431
1238	16224	3417
1239	16237	3404
1240	16250	3391
1241	16265	3378
1242	16280	3366
1243	16293	3353
1244	16308	3340
1245	16322	3327
1246	16335	3314
1247	16348	3301
1248	16361	3287
1249	16374	3274
1250	16386	3261
1251	16400	3248
1252	16413	3235
1253	16425	3222
1254	16438	3209
1255	16451	3195
1256	16465	3183
1257	16479	3170
1258	16493	3157
1259	16507	3144
1260	16520	3131
1261	16533	3117
1262	16545	3104
1263	16557	3091
1264	16570	3078
1265	16582	3064
1266	16594	3051
1267	16607	3038
1268	16619	3025
1269	16632	3012
1270	16644	2998
1271	16657	2985
1272	16670	2972
1273	16683	2959
1274	16696	2946
1275	16708	2933
1276	16721	2920
1277	16733	2906
1278	16746	2893
1279	16758	2880
1280	16770	2867
1281	16783	2854
1282	16796	2840
1283	16809	2827
1284	16822	2814
1285	16833	2801
1286	16845	2788
1287	16859	2774
1288	16871	2761
1289	16883	2748
1290	16896	2735
1291	16908	2722
1292	16922	2709
1293	16935	2696
1294	16948	2682
1295	16961	2669
1296	16974	2656
1297	16988	2643
